Testing
Get agent
model parameters: 
4056849
Setup GPU mode
Testing loop
         28797622 function calls (26579340 primitive calls) in 100.828 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1702    0.006    0.000    0.011    0.000 Image.py:442(_getencoder)
        1    0.000    0.000    0.011    0.011 _discrete_distns.py:5(<module>)
        1    0.000    0.000    0.011    0.011 ltisys.py:4(<module>)
     5024    0.006    0.000    0.011    0.000 inspect.py:2467(__init__)
        1    0.000    0.000    0.011    0.011 loader.py:2(<module>)
      912    0.002    0.000    0.011    0.000 {method 'sum' of 'numpy.ndarray' objects}
     2260    0.000    0.000    0.011    0.000 module.py:846(parameters)
       16    0.000    0.000    0.011    0.001 _distn_infrastructure.py:2916(__init__)
        1    0.000    0.000    0.011    0.011 core.py:12(<module>)
        1    0.000    0.000    0.011    0.011 blocking_input.py:20(<module>)
      101    0.001    0.000    0.011    0.000 _distn_infrastructure.py:1715(_attach_methods)
8534/8532    0.004    0.000    0.011    0.000 __init__.py:171(_lazy_init)
        1    0.000    0.000    0.011    0.011 _axes.py:71(Axes)
     9150    0.008    0.000    0.011    0.000 numeric.py:1816(isscalar)
        1    0.000    0.000    0.011    0.011 core.py:164(load_base_library)
        1    0.000    0.000    0.011    0.011 core.py:196(read_style_directory)
     1434    0.002    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:369(_get_cached)
     1579    0.001    0.000    0.010    0.000 <frozen importlib._bootstrap>:147(__enter__)
     1241    0.001    0.000    0.010    0.000 __init__.py:655(__setitem__)
     2260    0.001    0.000    0.010    0.000 module.py:870(named_parameters)
      117    0.000    0.000    0.010    0.000 _distn_infrastructure.py:671(_attach_argparser_methods)
        1    0.000    0.000    0.010    0.010 backend_bases.py:26(<module>)
    16540    0.010    0.000    0.010    0.000 {built-in method numpy.core._multiarray_umath.normalize_axis_index}
     2260    0.002    0.000    0.010    0.000 module.py:833(_named_members)
       26    0.000    0.000    0.010    0.000 __init__.py:868(rc_params_from_file)
    78719    0.010    0.000    0.010    0.000 {method 'get' of 'dict' objects}
    46275    0.010    0.000    0.010    0.000 {built-in method builtins.min}
       24    0.000    0.000    0.010    0.000 utils.py:1059(_bind_operator)
        1    0.000    0.000    0.010    0.010 multiarray.py:7(<module>)
        1    0.001    0.001    0.010    0.010 __init__.py:58(<module>)
        1    0.000    0.000    0.010    0.010 axes3d.py:11(<module>)
        1    0.000    0.000    0.009    0.009 _internal.py:6(<module>)
     2280    0.002    0.000    0.009    0.000 fromnumeric.py:52(_wrapfunc)
       37    0.000    0.000    0.009    0.000 delayed.py:589(_get_binary_operator)
     1701    0.008    0.000    0.009    0.000 copy.py:253(_keep_alive)
       37    0.000    0.000    0.009    0.000 delayed.py:220(delayed)
        1    0.000    0.000    0.009    0.009 auto.py:14(<module>)
      912    0.001    0.000    0.009    0.000 _methods.py:45(_sum)
     3404    0.003    0.000    0.009    0.000 _util.py:5(isPath)
     1199    0.009    0.000    0.009    0.000 {method 'read' of '_io.FileIO' objects}
